"anchor_ratio","trans_range","node_density","iterations","ale","sd_ale"
14,17,200,70,0.761082794,0.098958496
15,15,200,30,0.953480053,0.185214399
15,15,100,80,0.938538151,0.431164582
30,15,200,50,0.623686944,0.198896422
30,15,200,20,0.955296453,0.24371308
14,17,200,50,0.85212508,0.242422714
15,15,300,60,0.644282653,0.079024456
15,20,100,90,1.087560553,0.287104621
30,15,200,80,0.584010393,0.13818947
30,20,100,80,0.745117828,0.166373385
14,17,200,90,0.654629411,0.091094408
15,20,100,60,1.166177374,0.306563863
14,17,200,60,0.899102232,0.231821509
20,20,200,20,0.777587417,0.079345684
15,20,200,50,0.768373628,0.187631996
20,20,200,30,0.639524158,0.144813998
20,20,100,30,1.142195399,0.230192531
14,17,200,80,0.694355398,0.109480995
15,15,300,40,0.640866088,0.102241216
22,18,100,30,1.749733665,0.541785408
15,15,200,40,0.635426082,0.139791282
30,15,300,40,0.394028786,0.050900443
29,25,100,70,0.65610635,0.170127389
15,20,100,40,1.400044509,0.381825484
14,17,200,30,0.991036709,0.147471311
15,20,100,70,1.236995855,0.373965312
30,15,100,40,1.265909048,0.302943301
30,15,200,60,0.610484539,0.156495612
22,18,100,24,1.457227702,0.463308546
15,20,200,80,0.510574851,0.0543026
30,20,100,50,1.306089929,0.3172243
30,15,100,30,1.068551445,0.220221197
30,20,100,100,0.79887717,0.208752827
30,20,100,30,0.856184664,0.249213749
30,15,100,80,1.068203541,0.125976319
15,15,300,50,0.59150413,0.089417566
30,15,200,70,0.616868756,0.156022817
15,20,100,30,1.367249523,0.387468737
15,20,200,40,0.754537261,0.110507227
30,15,100,20,1.720087588,0.25623594
15,15,100,60,1.360770699,0.606128956
30,15,100,90,1.068378634,0.444850225
20,20,100,50,1.101590753,0.394539056
15,15,100,70,0.911940683,0.498329391
18,23,100,18,1.42744727,0.300525323
30,15,300,30,0.450843254,0.071420948
30,20,100,40,0.997667623,0.192819135
30,15,100,100,0.898056384,0.395022756
20,20,200,40,0.583633811,0.113007589
27,12,300,34,0.527185071,0.092165079
15,15,100,50,0.933937176,0.597886028
10,25,200,15,1.432541304,0.234996306
18,23,100,14,1.912673609,0.440208313
15,15,300,30,0.59538378,0.095468884
15,15,200,20,1.020652502,0.248160335
15,15,100,100,0.835540467,0.279405006
18,23,100,24,1.054096551,0.312639571
30,15,300,50,0.445195572,0.104002617
29,25,100,40,0.777448602,0.351503738
30,20,100,70,0.736392617,0.097663974
15,15,100,40,0.968578876,0.521958738
22,18,100,36,1.374326218,0.369650907
22,18,100,48,1.188537496,0.353484938
20,20,100,20,1.424042411,0.432745628
30,15,100,50,0.814867311,0.255545506
15,15,200,80,0.579297331,0.141759096
15,15,300,70,0.538651227,0.071779145
22,18,100,42,1.531824386,0.407232987
15,20,200,20,0.694361186,0.108054554
14,17,200,20,1.099575572,0.201073083
30,20,100,60,1.088612931,0.308180737
15,20,100,100,0.978801005,0.319224485
15,15,100,20,1.972683353,1.092220436
15,20,100,20,1.435332143,0.39460254
15,15,100,30,1.311226379,0.991961832
15,15,200,70,0.726396136,0.201597177
18,23,100,16,1.536521724,0.247704526
15,15,200,50,0.894478416,0.16032499
22,18,100,18,2.568407259,0.663502187
15,20,200,30,0.87334123,0.265818779
30,15,100,60,0.958956875,0.247748433
18,23,100,20,1.2874723,0.375227192
26,25,300,21,0.593627328,0.040814027
15,20,100,80,0.987043662,0.272926693
15,16,100,20,1.37108134,0.443621064
28,15,100,16,2.263947216,0.621398226
26,25,300,35,0.514113413,0.003267308
30,15,200,30,0.824427842,0.355873465
14,17,200,100,0.587373084,0.120572202
30,15,200,40,0.773545928,0.250555301
20,20,200,50,0.564917798,0.087060545
15,20,100,50,1.171140151,0.372001486
30,20,100,20,1.100996767,0.277833677
15,20,200,60,0.777208513,0.161208564
20,20,100,40,1.234492651,0.599834316
30,15,300,20,0.542908875,0.051112026
15,16,100,16,2.178481596,0.473341171
30,20,100,90,0.703330372,0.154978608
15,20,200,70,0.626509484,0.071994182
14,17,200,40,0.857073355,0.264071316
10,25,200,25,0.771503642,0.173037596
18,23,100,22,0.98210734,0.18315808
15,15,100,90,1.204298023,0.349468948
15,15,300,80,0.48997044,0.098293934
15,15,300,20,0.755031177,0.13089836
15,15,200,60,0.623929257,0.122912992
30,15,100,70,1.230927917,0.288495035
