"Iy","PF","e","dIf","If"
5.7,0.97,0.03,248,1.428
3.9,0.74,0.26,418,1.598
4.1,0.76,0.24,418,1.598
3.3,0.96,0.04,98,1.278
3.4,0.66,0.34,385,1.565
4.2,0.94,0.06,153,1.333
4.9,0.75,0.25,559,1.739
3.2,0.92,0.08,102,1.282
4.7,0.97,0.03,185,1.365
4.6,0.7,0.3,644,1.824
3.6,0.66,0.34,457,1.637
3.9,0.98,0.02,97,1.277
4.2,0.96,0.04,162,1.342
5.3,0.91,0.09,176,1.356
4.4,0.72,0.28,462,1.642
3.8,0.9,0.1,222,1.402
4.9,0.79,0.21,462,1.642
4.8,0.79,0.21,476,1.656
5.6,0.67,0.33,729,1.909
5,0.69,0.31,601,1.781
3.7,0.76,0.24,353,1.533
3.3,0.98,0.02,98,1.278
4.3,0.82,0.18,0.34,1.52
3.7,0.96,0.04,0.14,1.32
6,0.69,0.31,713,1.893
4.7,0.87,0.13,288,1.468
3.9,0.86,0.14,0.19,1.37
4.3,0.84,0.16,354,1.534
3.9,0.66,0.34,444,1.624
3.1,0.96,0.04,139,1.319
4.9,0.95,0.05,0.14,1.32
5,0.81,0.19,338,1.518
5.5,0.83,0.17,377,1.557
5.7,0.85,0.15,506,1.686
5.5,0.85,0.15,389,1.569
3.1,0.72,0.28,369,1.549
3.3,0.74,0.26,369,1.549
4.9,0.99,0.01,0.14,1.32
3.6,0.7,0.3,505,1.685
5.1,0.73,0.27,615,1.795
4.5,0.66,0.34,492,1.672
4.8,0.73,0.27,546,1.726
4.4,0.9,0.1,231,1.411
4.9,0.91,0.09,134,1.314
3,0.72,0.28,338,1.518
4.3,0.88,0.12,246,1.426
4.7,0.79,0.21,0.49,1.67
4,0.78,0.22,338,1.518
5.5,0.91,0.09,121,1.301
5.6,0.69,0.31,0.74,1.92
5,0.89,0.11,225,1.405
5.9,0.71,0.29,621,1.801
4.5,0.98,0.02,96,1.276
5.8,0.93,0.07,214,1.394
3.4,0.72,0.28,345,1.525
5.4,0.99,0.01,166,1.346
3.7,0.74,0.26,436,1.616
3.1,0.8,0.2,349,1.529
4.6,0.68,0.32,0.61,1.79
3.4,0.9,0.1,174,1.354
4.3,0.74,0.26,489,1.669
5.4,0.69,0.31,657,1.837
4.4,0.84,0.16,341,1.521
3.2,0.98,0.02,118,1.298
5,0.67,0.33,573,1.753
3.8,0.86,0.14,0.2,1.38
5.9,0.73,0.27,641,1.821
5.4,0.65,0.35,713,1.893
5.4,0.91,0.09,159,1.339
4,0.72,0.28,383,1.563
6,0.99,0.01,0.16,1.34
6,0.89,0.11,301,1.481
4,0.88,0.12,174,1.354
3,0.92,0.08,98,1.278
5.7,0.87,0.13,359,1.539
3.8,0.68,0.32,466,1.646
4.1,0.66,0.34,522,1.702
3.3,0.8,0.2,328,1.508
4.8,0.65,0.35,622,1.802
5.2,0.89,0.11,331,1.511
4.3,1,0,0.14,1.32
4.3,0.96,0.04,0.14,1.32
4.6,0.95,0.05,207,1.387
5.1,0.87,0.13,338,1.518
5.1,0.83,0.17,454,1.634
3.8,0.98,0.02,119,1.299
5.9,0.93,0.07,192,1.372
3.2,0.84,0.16,266,1.446
5.3,0.67,0.33,656,1.836
4.8,0.93,0.07,157,1.337
5.5,0.93,0.07,0.13,1.31
3,0.98,0.02,37,1.217
4.3,0.76,0.24,402,1.582
3.9,0.92,0.08,95,1.275
4.5,0.78,0.22,395,1.575
5,0.91,0.09,0.1,1.28
5,0.93,0.07,109,1.289
4.7,0.95,0.05,185,1.365
3.6,0.8,0.2,406,1.586
3.1,0.94,0.06,124,1.304
3.3,0.9,0.1,188,1.368
4.4,0.96,0.04,118,1.298
5.3,0.85,0.15,438,1.618
5,0.85,0.15,0.36,1.54
3.5,0.7,0.3,418,1.598
3,1,0,37,1.217
4.3,0.86,0.14,235,1.415
5.8,0.91,0.09,206,1.386
3.6,0.68,0.32,476,1.656
4.8,0.81,0.19,378,1.558
6,0.65,0.35,769,1.949
3.3,0.78,0.22,312,1.492
5.9,0.79,0.21,0.56,1.74
3.4,0.84,0.16,245,1.425
4,0.7,0.3,479,1.659
5.6,0.95,0.05,277,1.457
4.6,0.72,0.28,556,1.736
4.2,0.8,0.2,455,1.635
5.9,0.81,0.19,437,1.617
4,0.74,0.26,406,1.586
3.3,0.7,0.3,0.43,1.61
3.1,0.86,0.14,193,1.373
4.9,0.71,0.29,517,1.697
5.4,0.75,0.25,593,1.773
5.8,0.89,0.11,355,1.535
4.6,0.84,0.16,415,1.595
4.1,0.96,0.04,184,1.364
5.6,0.93,0.07,254,1.434
5.9,0.65,0.35,761,1.941
3.5,0.98,0.02,56,1.236
5.9,0.85,0.15,467,1.647
4.9,0.87,0.13,253,1.433
3.4,0.92,0.08,74,1.254
5.8,0.77,0.23,565,1.745
3.5,0.88,0.12,151,1.331
3.7,0.86,0.14,0.21,1.39
5.4,0.77,0.23,499,1.679
3.4,0.76,0.24,299,1.479
4.1,0.92,0.08,162,1.342
3,0.74,0.26,317,1.497
5.5,0.75,0.25,579,1.759
4.9,0.73,0.27,536,1.716
3.4,0.78,0.22,306,1.486
3.7,0.72,0.28,419,1.599
4.2,0.98,0.02,162,1.342
3,0.82,0.18,0.25,1.43
5.9,0.83,0.17,454,1.634
5.2,0.73,0.27,603,1.783
3,0.96,0.04,37,1.217
3.5,0.9,0.1,0.16,1.34
3.1,0.68,0.32,414,1.594
4.5,0.74,0.26,467,1.647
